Number,RW Name,Image,Thoth Name,Elemental,Element01,Element02,Colour,Astro,Planets,Signs,Gemstone,Herbs,Elder Futhark Runes,"Hebrew
Letter:","Meaning of
Letter Name:",Numerology,Numerology Key Words,keywords/0,keywords/1,keywords/2,keywords/3,Mythical/Spiritual
0,The Fool,p11.jpg,The Fool,Sylph,Air,Air,Yellow,Uranus,Uranus,,Green Tourmaline,"cedar, rose, geranium","Mannaz - Humanity, Development of Talents, Divine Potential",Aleph,Ox,0,Nothingness,freedom,faith,inexperience,innocence,Adam before the fall. Christ as a wandering holy madman. Deity wrapped in human flesh. The Holy Spirit.
1,The Magician,m01.jpg,The Magus,Sylph,Air,,Yellow,The Sun/Mercury,The Sun/Mercury,,Quartz Crystal,"carnation, rosemary, vanilla","Ansuz - Ancestral Gods, Odin, Mouth, Breath, Communication",Bet,House,1,"Manifestation, Action",capability,empowerment,activity,,"Thoth, the Egyptian god of wisdom, known to the Greeks as Hermes and to the Romans as Mercury. Christ working miracles. Brahma, the Creator."
2,The High Priestess,m02.jpg,The Priestess,Undine,Water,,Blue,The Moon,The Moon,,Agate Geode,"acacia, sandalwood, lemongrass","Pertho - Mysterious, Secrecy, Hidden, Fate, Divination, Self Knowledge",Gimel,Camel,2,"Balance, Intuition",intuition,reflection,purity,initiation,"The feminine aspect of divinity, particularity when expressed through virginity, as with the Virgin Mary or Isis."
3,The Empress,m03.jpg,The Empress,Gnome,Earth,,Green,Venus,Venus,,Emerald,"hazel, olive, sunflower","Berkana -Fertility, Regeneration, Growth, Completion",Dalet,Door,3,"Creativity, Growth, Abundance",fertility,productivity,ripeness,nurturing,"Gaia, Mother Earth, Ishtar, DemeterÑmature, reproductive female divinity in every form. Also Aphrodite and Turan. "
4,The Emperor,m04.jpg,The Emperor,Salamander,Fire,,Red,Mars/Aries,Mars,Aries,Carnelian,"ginger, mugwort, laurel","Ingwaz - Virility, Potency, Potential, Family, Lineage",Heh,Window,4,"Order, Stability, Foundations",authority,regulation,direction,structure,"Masculine gods, including the Hebrew God, the Christian God, Allah, and Zeus. Patriarchs (Abraham) and lawgivers (Moses). Vishnu, the Preserver."
5,The Hierophant,m05.jpg,The Hierophant,Gnome,Earth,,Red-Orange,Taurus/Earth,Earth,Taurus,Diamond,"lemon. sweet pea, lavender, violet","Othala -Seperation, Ancestral Wisdom, Inherant Talent ",Vau,Nail,5,"Change, Instability",guidance,knowledge,revelation,belief,"The Christ, the Apostle Peter, Buddha, Mohammed. Popes, priests, and intercessors of every faith and tradition"
6,The Lovers,m06.jpg,The Lovers,Sylph,Air,,Orange,Gemini,,Gemini,Ruby,"ginseng, dragon's blood","Gebo-  Gift, Grattitude, Exchange, ",Zain,Sword,6,"Cooperation, Communication, Harmony",love,passion,unity,choice,"Obviously, Adam and Eve, who are depicted in RWS-influenced decks. Also Venus and Cupid, Aphrodite and Eros."
7,The Chariot,m07.jpg,The Chariot,Undine,Water,,Orange-Yellow,Cancer,,Cancer,Pyrite,"st. john's wort, iris","Raido - Journey, Riding, Road, Wheels, Raid",Chet,Fence,7,"Journey, Quest, Seeking",advancement,victory,triumph,success,Odysseus. Jason. The search for the Holy Grail. Christ's triumphal entry into Jerusalem.
8,Strength,m08.jpg,Lust,Salamander,Fire,,Yellow,Libra or Leo,,Libra or Leo,Tigers Eye,"angelica, basil, comfrey, thyme","Uruz-Aurochs (Wild Ox), Strength, Fortitude, Good Health",Tet,Serpent,8,"Achievment, Power, Strength",discipline,boldness,self-discipline,power,Themis or Justitia. Ma'at. Solomon dividing a baby. The Sword of Damocles. The giving of the Ten Commandments.
9,The Hermit,m09.jpg,The Hermit,Gnome,Earth,,Yellow-Green,Virgo,,Virgo,Peridot,"angelica, chamomile, sage","Isa - Ice, Period of isolation, Inertia, Withdrawal, AND KENNAZ represents a Torch. It symbolizes Vision, Creativity, Inspiration, Improvement, Vitality.",Yod,Hand,9,"Wisdom, Solitude, Compassion",solitude,experience,stillness,withdrawal,"The Christ, while fasting 40 days in the wilderness. Chronos, the god of time. Father Time. Hermes."
10,Wheel of Fortune,m10.jpg,Fortune,Salamander,Fire,,Violet,Jupiter,Jupiter,,Jade,"daisy, heather, jasmine, clover","Jera - Cycle, Completion, Harvest, Reward ",Koph,Closed Hand,10,New Cycle Begins,luck,randomness,cycles,karma,"The God in the Machine. Deus ex Machina. Clotho, Lachesis, and Atropos. Fortuna."
11,Justice,m11.jpg,Adjustment,Sylph,Air,,Green,Leo or Libra,,Leo or Libra,Petrified Wood,"garlic, honeysuckle","Tiwaz - Tyre, Spear, Bravery, Justice, ",Lamed,Ox Goad,11 = 1 + 1 = 2,"debate, duality ",balance,law,fairness,objectivity,Samson. Hercules. Daniel in the lion's den. The sinless Christ.
